School,Term,Code,Title,Instructor
Cornell University,SP22,AEM 4630,Asset Pricing and Portfolio Management,
Cornell University,SP22,AEM 4650,Strategic Management of Technology and Innovation,
Cornell University,SP22,AEM 4660,Business Simulation,
Cornell University,SP22,AEM 4661,Business Simulation Capstone for Business Minors in Life Sciences,
Cornell University,SP22,AEM 4670,Investments,
Cornell University,SP22,AEM 4700,Dyson Leadership Development Program,Robert Karpman (rk395)
Cornell University,SP22,AEM 4940,Undergraduate Special Topics in Applied Economics and Management,Todd Schmit (tms1)
Cornell University,SP22,AEM 4960,Applied Economics and Management Internship,Eric Yeung (pey4)
Cornell University,SP22,AEM 4970,Individual Study in Applied Economics and Management,Eric Yeung (pey4)
Cornell University,SP22,AEM 4980,Supervised Teaching Experience,Eric Yeung (pey4)
Cornell University,SP22,AEM 4990,Undergraduate Research,Eric Yeung (pey4)
Cornell University,SP22,AEM 4992,Undergraduate Accounting and Tax Research,Eric Yeung (pey4)
Cornell University,SP22,AEM 5040,Dairy Markets and Policy,Eric Yeung (pey4)
Cornell University,SP22,AEM 5110,Design and Innovation,Anke Wessels (akw7)
Cornell University,SP22,AEM 5210,Business and Economics of Food,Anke Wessels (akw7)
Cornell University,SP22,AEM 5225,Systems and Analytics in Accounting,Jura Liaukonyte (jl2545)
Cornell University,SP22,AEM 5241,Finance,Daniel Hooker (dwh22)
Cornell University,SP22,AEM 5260,Cooperative Business Management,Yao Lu (yl2269)
Cornell University,SP22,AEM 5290,International Financial Management,Yao Lu (yl2269)
Cornell University,SP22,AEM 5305,Global Citizenship Seminar,Cindy Van Es (clv1)
Cornell University,SP22,AEM 5315,Leadership and Management in Global Environments and Organizations,Terence Alexander (ta425)
Cornell University,SP22,AEM 5410,Marketing Research,Terence Alexander (ta425)
Cornell University,SP22,AEM 5421,Research and Strategy in Emerging Markets,Kaushik Basu (kb40)
Cornell University,SP22,AEM 5480,From Labels to Lab-Grown Meat: Consumer Behavior and the Food Industry,Donna Haeger (dlh266)
Cornell University,SP22,AEM 5510,Environmental Economics,Young-Hoon Park (yp34)
Cornell University,SP22,AEM 5570,Corporate Finance,Young-Hoon Park (yp34)
Cornell University,SP22,AEM 5605,Predictive Analytics for Business Strategy,Calum Turvey (cgt6)
