School,Term,Code,Title,Instructor
Cornell University,SP22,BIOMI 7990,Microbiology Seminar,Joshua Filter (jjf33)
Cornell University,SP22,BIOMS 3160,Cellular Physiology,Andrew White (acw93)
Cornell University,SP22,BIOMS 3310,General Parasitology,Dwight Bowman (ddb3)
Cornell University,SP22,BIOMS 4040,Pathogenic Bacteriology,Dorothy Debbie (dpd22)
Cornell University,SP22,BIOMS 4130,Histology: The Biology of the Tissues,Dorothy Debbie (dpd22)
Cornell University,SP22,BIOMS 4140,Principles of Pharmacology,Dorothy Debbie (dpd22)
Cornell University,SP22,BIOMS 4311,"Paleoparasitology - Very, Very Cold Cases",Keila Dhondt (kvs9)
Cornell University,SP22,BIOMS 4980,Undergraduate Supervised Teaching,Keila Dhondt (kvs9)
Cornell University,SP22,BIOMS 5660,Social Issues in Community Engagement by Cancer Scientists,Gregory Weiland (gaw2)
Cornell University,SP22,BIOMS 7050,Advanced Immunology,Dwight Bowman (ddb3)
Cornell University,SP22,BIOMS 7900,Seminars in Stem Cell Research,
Cornell University,SP22,BIONB 1220,FWS: Special Topics in Neurobiology and Behavior,Andrea Roeser (acr245)
Cornell University,SP22,BIONB 2220,Neurobiology and Behavior II: Introduction to Neuroscience,Shelby Dietz (sbd3)
Cornell University,SP22,BIONB 3215,Gender and the Brain,Shelby Dietz (sbd3)
Cornell University,SP22,BIONB 3280,Biopsychology of Learning and Memory,Shelby Dietz (sbd3)
Cornell University,SP22,BIONB 3690,Chemical Ecology,Shelby Dietz (sbd3)
Cornell University,SP22,BIONB 4140,Principles of Pharmacology,Shelby Dietz (sbd3)
Cornell University,SP22,BIONB 4200,Topics in Neurobiology and Behavior,Shelby Dietz (sbd3)
Cornell University,SP22,BIONB 4260,Animal Communication,Shelby Dietz (sbd3)
Cornell University,SP22,BIONB 4300,Experimental Molecular Neurobiology,Shelby Dietz (sbd3)
Cornell University,SP22,BIONB 4330,Topics in Cognitive Science,Shelby Dietz (sbd3)
Cornell University,SP22,BIONB 4460,"Plant Behavior and Biotic Interactions, Lecture",Shelby Dietz (sbd3)
Cornell University,SP22,BIONB 4550,Molecular and Neural Basis of Decision Making,Shelby Dietz (sbd3)
Cornell University,SP22,BIONB 4910,Principles of Neurophysiology,Shelby Dietz (sbd3)
Cornell University,SP22,BIONB 4980,Teaching Experience,Shelby Dietz (sbd3)
Cornell University,SP22,BIONB 5910,Principles of Neurophysiology,Tim Devoogd (tjd5)
Cornell University,SP22,BIONB 7201,Research Design in the Study of Animal Social Behavior,Jennifer Thaler (jst37)
Cornell University,SP22,BIONB 7202,Topics in Neural Basis of Behavior,Gregory Weiland (gaw2)
Cornell University,SP22,BIONB 7640,Plant-Insect Interactions Seminar,Nilay Yapici (ny96)
Cornell University,SP22,BME 2010,Physiology of Human Health and Disease,Mridusmita Saikia (ms2855)
Cornell University,SP22,BME 2080,Experiential Learning Seminar,Mridusmita Saikia (ms2855)
Cornell University,SP22,BME 2110,Biomolecular Thermodynamics,Ryan Sauve (rts96)
Cornell University,SP22,BME 3020,Molecular Principles of Biomedical Engineering,Shaoyi Jiang (sj19)
Cornell University,SP22,BME 3110,Cellular Systems Biology,Shaoyi Jiang (sj19)
Cornell University,SP22,BME 3210,Multiscale Biomaterial Analysis,Shaoyi Jiang (sj19)
Cornell University,SP22,BME 3310,Medical and Preclinical Imaging,Ilana Brito (ilb8)
Cornell University,SP22,BME 3410,Systems Mechanobiology,Ilana Brito (ilb8)
Cornell University,SP22,BME 4020,Electrical and Chemical Physiology,Ilana Brito (ilb8)
Cornell University,SP22,BME 4090,Biomedical Engineering Design II,Ilana Brito (ilb8)
Cornell University,SP22,BME 4490,Biomechanics Laboratory,Ben Cosgrove (bdc68)
Cornell University,SP22,BME 4900,Independent Undergraduate Project in Biomedical Engineering,Ben Cosgrove (bdc68)
Cornell University,SP22,BME 4901,Honors Thesis,Ben Cosgrove (bdc68)
Cornell University,SP22,BME 4910,Principles of Neurophysiology,Yadong Wang (yw839)
Cornell University,SP22,BME 4970,Undergraduate Teaching in Biomedical Engineering,Yadong Wang (yw839)
Cornell University,SP22,BME 5010,BME MEng Professional Engagement Seminar,Yi Wang (yw233)
Cornell University,SP22,BME 5320,Principles of Neurophysiology,Karl Lewis (kjl235)
Cornell University,SP22,BME 5510,Medical Device Regulatory Affairs for Biomedical Engineers,Iwijn De Vlaminck (id93)
Cornell University,SP22,BME 5620,Biomineralization: The Formation and Properties of Inorganic Biomaterials,Iwijn De Vlaminck (id93)
Cornell University,SP22,BME 5780,Computer Analysis of Biomed Images,Iwijn De Vlaminck (id93)
Cornell University,SP22,BME 5830,Cell-Biomaterials Interactions,Iwijn De Vlaminck (id93)
Cornell University,SP22,BME 5910,Preliminary Study for Design Project,James Antaki (jfa79)
Cornell University,SP22,BME 5911,Industrial Projects: Preliminary Study for Design Project,Lawrence Bonassar (lb244)
Cornell University,SP22,BME 5920,Performance of Design Project,Lawrence Bonassar (lb244)
Cornell University,SP22,BME 5921,Industrial Projects: Performance of Design Project,Karl Lewis (kjl235)
Cornell University,SP22,BME 5930,Independent Design Project,David Erickson (de54)
Cornell University,SP22,BME 5940,Biomedical Engineering Internship,Lawrence Bonassar (lb244)
Cornell University,SP22,BME 6230,Cancer and Immuno-Engineering,David Putnam (dap43)
Cornell University,SP22,BME 6260,Optical Microscopy and Fluorescence Methods for Research,Chris Schaffer (cs385)
Cornell University,SP22,BME 6320,Modern Biomedical Microscopy,Warren Zipfel (wrz2)
Cornell University,SP22,BME 6410,Cell and Molecular Mechanobiology,Newton de Faria (nd366)
Cornell University,SP22,BME 7020,Biomedical Engineering Research Seminar,Yi Wang (yw233)
Cornell University,SP22,BME 7030,Graduate Student Teaching Experience,Adam Anderson (aka47)
Cornell University,SP22,BME 7130,Core Concepts in Disease,Peter Doerschuk (pd83)
Cornell University,SP22,BME 7900,Biomedical Engineering Graduate Colloquium,Claudia Fischbach (cf99)
Cornell University,SP22,BSOC 2061,Ethics and the Environment,Juno Parrenas (jsp324)
Cornell University,SP22,BSOC 2071,Introduction to the History of Medicine,Juno Parrenas (jsp324)
Cornell University,SP22,BSOC 2131,Science Fiction,Juno Parrenas (jsp324)
Cornell University,SP22,BSOC 2201,Society and Natural Resources,Juno Parrenas (jsp324)
Cornell University,SP22,BSOC 2211,Early Agriculture,Juno Parrenas (jsp324)
Cornell University,SP22,BSOC 2468,"Medicine, Culture, and Society",Suman Seth (ss536)
Cornell University,SP22,BSOC 2581,Environmental History,Suman Seth (ss536)
Cornell University,SP22,BSOC 2721,History of Mental Health and Mental Illness in the United States,Suman Seth (ss536)
Cornell University,SP22,BSOC 3181,"Living in an Uncertain World: Science, Technology, and Risk",Suman Seth (ss536)
Cornell University,SP22,BSOC 3235,Bioarchaeology,Suman Seth (ss536)
Cornell University,SP22,BSOC 3390,Primate Behavior and Ecology with Emphasis on African Apes,Suman Seth (ss536)
Cornell University,SP22,BSOC 3751,Independent Study,Anindita Banerjee (ab425)
Cornell University,SP22,BSOC 4634,Curating the British Empire,
Cornell University,SP22,BSOC 4650,Advanced Topics in Clinical Ethics,
Cornell University,SP22,BSOC 4691,"Food, Agriculture, and Society",Richard Stedman (rcs6)
Cornell University,SP22,BSOC 4992,Honors Project II,Richard Stedman (rcs6)
Cornell University,SP22,BTRY 3020,Biological Statistics II,Jeremy Entner (jfe35)
Cornell University,SP22,BTRY 3080,Probability Models and Inference,Jeremy Entner (jfe35)
Cornell University,SP22,BTRY 4090,Theory of Statistics,Jeremy Entner (jfe35)
Cornell University,SP22,BTRY 4140,Applied Design,Jeremy Entner (jfe35)
Cornell University,SP22,BTRY 4810,Population Genetics,Jeremy Entner (jfe35)
Cornell University,SP22,BTRY 4830,Quantitative Genomics and Genetics,Ahmed El Alaoui (ae333)
Cornell University,SP22,BTRY 4970,Undergraduate Individual Study in Biometry and Statistics,Ahmed El Alaoui (ae333)
Cornell University,SP22,BTRY 4980,Undergraduate Supervised Teaching,Ahmed El Alaoui (ae333)
Cornell University,SP22,BTRY 4990,Undergraduate Research,Thomas Diciccio (tjd9)
Cornell University,SP22,BTRY 5020,Biological Statistics II,Thomas Diciccio (tjd9)
Cornell University,SP22,BTRY 5090,Theory of Statistics,Thomas Diciccio (tjd9)
Cornell University,SP22,BTRY 6020,Statistical Methods II,James Booth (jb383)
Cornell University,SP22,BTRY 6830,Quantitative Genomics and Genetics,Philipp Messer (pm544)
Cornell University,SP22,BTRY 6970,Individual Graduate Study in Biometry and Statistics,Philipp Messer (pm544)
Cornell University,SP22,BTRY 7210,Topics in Quantitative Genomics,Philipp Messer (pm544)
Cornell University,SP22,BTRY 7900,Graduate-Level Dissertation Research,Jason Mezey (jgm45)
Cornell University,SP22,BTRY 7980,Graduate Supervised Teaching,Jason Mezey (jgm45)
Cornell University,SP22,BTRY 8900,Master's Level Thesis Research,Jason Mezey (jgm45)
Cornell University,SP22,BTRY 9900,Doctoral-Level Dissertation Research,
Cornell University,SP22,BURM 1122,Elementary Burmese (Myanmar) II,Yu Yu Khaing (yk696)
Cornell University,SP22,BURM 2202,Intermediate Burmese (Myanmar) II,Yu Yu Khaing (yk696)
Cornell University,SP22,BURM 3302,Advanced Burmese (Myanmar) II,Yu Yu Khaing (yk696)
Cornell University,SP22,CAPS 1622,The World of Modern Japan,Kristin Roebuck (kar79)
Cornell University,SP22,CAPS 1740,Imperial China,
Cornell University,SP22,CAPS 2212,Introduction to China,
Cornell University,SP22,CAPS 2932,Engendering China,
Cornell University,SP22,CAPS 3329,Literature of Leaving China,
Cornell University,SP22,CAPS 4010,Honors Thesis Tutorial I,
Cornell University,SP22,CAPS 4020,Honors Thesis Tutorial II,Tj Hinrichs (th289)
Cornell University,SP22,CAPS 4030,Making Sense of China: The Capstone Seminar,
Cornell University,SP22,CAPS 4049,The Rise of China and Change in World Politics,
Cornell University,SP22,CAPS 4420,Tang Poetry: Themes and Contexts,Nick Admussen (na347)
Cornell University,SP22,CAPS 4773,Twice A Stranger: Transnational Figures and Their Stories,Nick Admussen (na347)
Cornell University,SP22,CAPS 4999,CAPS Independent Study,Nick Admussen (na347)
Cornell University,SP22,CEE 1130,"Sustainable Engineering of Energy, Water, Soil, and Air Resources",Andrea Giometto (ag956)
Cornell University,SP22,CEE 1165,"Climate Change and You, the Engineer",Edwin (Todd) Cowen (eac20)
Cornell University,SP22,CEE 2550,AguaClara: Sustainable Water Supply Project,Ruth Richardson (rer26)
Cornell University,SP22,CEE 3080,Introduction to CADD,Steven Curtis (shc11)
Cornell University,SP22,CEE 3090,Special Topics in Civil and Environmental Engineering,Steven Curtis (shc11)
Cornell University,SP22,CEE 3102,Basics of Programming in Python,Steven Curtis (shc11)
Cornell University,SP22,CEE 3200,Engineering Computation,Ruth Richardson (rer26)
Cornell University,SP22,CEE 3230,Engineering Economics and Management,Francis Vanek (fmv3)
Cornell University,SP22,CEE 3510,Environmental Quality Engineering,Francis Vanek (fmv3)
Cornell University,SP22,CEE 3610,Introduction to Transportation Engineering,Sriramya Nair (sn599)
Cornell University,SP22,CEE 3710,Structural Modeling and Behavior,Matthew Reiter (mtr68)
Cornell University,SP22,CEE 4000,Senior Honors Thesis,Francis Vanek (fmv3)
Cornell University,SP22,CEE 4010,Undergraduate Engineering Teaching in CEE,Greg McLaskey (gcm8)
Cornell University,SP22,CEE 4090,CEE Undergraduate Research,William Philpot (wdp2)
Cornell University,SP22,CEE 4330,Physical Hydrology in the Built and Natural Environments,Francis Vanek (fmv3)
Cornell University,SP22,CEE 4530,Laboratory Research in Environmental Engineering,Jery Stedinger (jrs5)
Cornell University,SP22,CEE 4665,Modeling and Optimization for Smart Infrastructure Systems,Jery Stedinger (jrs5)
Cornell University,SP22,CEE 4740,Introduction to the Behavior of Metal Structures,Matthew Reiter (mtr68)
Cornell University,SP22,CEE 4750,Concrete Materials and Construction,Greg McLaskey (gcm8)
Cornell University,SP22,CEE 4795,Sensors for the Built and Natural Environments,Seth Schweitzer (sas262)
Cornell University,SP22,CEE 5022,Project in Environmental and Water Resources Systems,Pete Diamessis (pjd38)
Cornell University,SP22,CEE 5025,Civil and Environmental Engineering Seminar for First-Year Research Students,Pete Diamessis (pjd38)
Cornell University,SP22,CEE 5032,Project in Environmental Fluid Mechanics and Hydrology,Pete Diamessis (pjd38)
Cornell University,SP22,CEE 5042,Project in Geotechnical Engineering,Pete Diamessis (pjd38)
Cornell University,SP22,CEE 5052,Project in Environmental Engineering,Pete Diamessis (pjd38)
Cornell University,SP22,CEE 5062,Project in Transportation Engineering,Francis Vanek (fmv3)
Cornell University,SP22,CEE 5071,Professional Experience in Structural Mechanics,Francis Vanek (fmv3)
Cornell University,SP22,CEE 5080,Introduction to CADD,Ruth Richardson (rer26)
Cornell University,SP22,CEE 5102,Basics of Programming in Python,Francis Vanek (fmv3)
Cornell University,SP22,CEE 5252,Systems Analysis Behavior and Optimization,Sriramya Nair (sn599)
Cornell University,SP22,CEE 5420,Energy Technologies and Subsurface Resources,Sriramya Nair (sn599)
Cornell University,SP22,CEE 5610,Introduction to Transportation Engineering,Sriramya Nair (sn599)
Cornell University,SP22,CEE 5665,Modeling and Optimization for Smart Infrastructure Systems,Derek Warner (dhw52)
Cornell University,SP22,CEE 5745,Inverse Problems: Theory and Applications,Ruth Richardson (rer26)
Cornell University,SP22,CEE 5795,Sensors for the Built and Natural Environments,
Cornell University,SP22,CEE 5900,Project Management,Kenneth Hover (kch7)
Cornell University,SP22,CEE 5910,Engineering Management Project,Pete Diamessis (pjd38)
Cornell University,SP22,CEE 6015,Special Topics: Remote Sensing,Ruth Richardson (rer26)
Cornell University,SP22,CEE 6021,Seminar: Environmental Engineering and Water Resources,Qi Li (ql56)
Cornell University,SP22,CEE 6065,Special Topics in Transportation,Damian Helbling (deh262)
Cornell University,SP22,CEE 6075,Special Topics in Structural Engineering,Derek Warner (dhw52)
Cornell University,SP22,CEE 6091,Seminar: Project Management,Greg McLaskey (gcm8)
Cornell University,SP22,CEE 6095,Special Topics in Engineering Management,Edwin (Todd) Cowen (eac20)
Cornell University,SP22,CEE 6100,Remote Sensing Fundamentals,Matthew Reid (mcr239)
Cornell University,SP22,CEE 6200,Water-Resources Systems Engineering,Matthew Reid (mcr239)
Cornell University,SP22,CEE 6330,Physical Hydrology in the Built and Natural Environments,Kenneth Hover (kch7)
Cornell University,SP22,CEE 6550,"Transport, Mixing, and Transformation in the Environment",Greeshma Gadikota (gg464)
Cornell University,SP22,CEE 6590,Environmental Organic Chemistry,Samitha Samaranayake (ss3496)
Cornell University,SP22,CEE 6640,Microeconometrics of Discrete Choice,Derek Warner (dhw52)
Cornell University,SP22,CEE 6725,3D Printing Parts that Don't Break: From Processing to Performance,Sriramya Nair (sn599)
Cornell University,SP22,CEE 6745,Inverse Problems: Theory and Applications,Pete Diamessis (pjd38)
Cornell University,SP22,CEE 6750,Concrete Materials and Construction,Greeshma Gadikota (gg464)
Cornell University,SP22,CEE 6910,Project Management,April Gu Leip (azg4)
Cornell University,SP22,CEE 7070,Research in Structural Engineering,Matthew Reid (mcr239)
Cornell University,SP22,CEE 7073,Civil and Environmental Engineering Materials Project,Francis Vanek (fmv3)
Cornell University,SP22,CEE 7740,Advanced Structural Concrete,Qi Li (ql56)
Cornell University,SP22,CEE 7780,Continuum Mechanics and Thermodynamics,Qi Li (ql56)
Cornell University,SP22,CEE 8100,Thesis - Remote Sensing,Matthew Reid (mcr239)
Cornell University,SP22,CEE 8200,Thesis - Environmental and Water Resource Systems,Matthew Reid (mcr239)
Cornell University,SP22,CEE 8300,Thesis - Environmental Fluid Mechanics and Hydrology,Samitha Samaranayake (ss3496)
Cornell University,SP22,CEE 8400,Thesis - Geotechnical Engineering,Matthew Reiter (mtr68)
Cornell University,SP22,CEE 8500,Thesis - Environmental Engineering,Matthew Reiter (mtr68)
Cornell University,SP22,CEE 8600,Thesis - Transportation Systems Engineering,Matthew Reiter (mtr68)
Cornell University,SP22,CEE 8700,Thesis - Structural Engineering,Kenneth Hover (kch7)
Cornell University,SP22,CEE 8800,Thesis - Civil Infrastructure Systems,Greg McLaskey (gcm8)
Cornell University,SP22,CHEM 1008,Academic Support for CHEM 2080,Karen Lagasse (kl658)
Cornell University,SP22,CHEM 1058,Academic Support for CHEM 3580,Karen Lagasse (kl658)
Cornell University,SP22,CHEM 1080,Introduction to Critical Thinking for the Sciences,Karen Lagasse (kl658)
Cornell University,SP22,CHEM 1350,Modeling and Simulation of Real-World Scientific Problems,Karen Lagasse (kl658)
Cornell University,SP22,CHEM 1570,Introduction to Organic and Biological Chemistry,Karen Lagasse (kl658)
Cornell University,SP22,CHEM 2080,General Chemistry II,Karen Lagasse (kl658)
Cornell University,SP22,CHEM 2090,Engineering General Chemistry,Brandon Bogusz (bb677)
Cornell University,SP22,CHEM 2510,Introduction to Experimental Organic Chemistry,Brandon Bogusz (bb677)
Cornell University,SP22,CHEM 2880,Introductory Physical Chemistry,Brandon Bogusz (bb677)
Cornell University,SP22,CHEM 2900,Introductory Physical Chemistry Laboratory,Stephen Lee (sl137)
Cornell University,SP22,CHEM 3010,Honors Experimental Chemistry I,Stephen Lee (sl137)
Cornell University,SP22,CHEM 3030,Honors Experimental Chemistry III,Perrine Pepiot (pp427)
Cornell University,SP22,CHEM 3580,Organic Chemistry for the Life Sciences,Perrine Pepiot (pp427)
Cornell University,SP22,CHEM 3590,Honors Organic Chemistry I,Cynthia Kinsland (clk10)
Cornell University,SP22,CHEM 3900,Honors Physical Chemistry II,Robert DiStasio (rad332)
Cornell University,SP22,CHEM 4040,Entrepreneurship in Chemical Enterprise,Robert DiStasio (rad332)
Cornell University,SP22,CHEM 4100,Inorganic Chemistry,
Cornell University,SP22,CHEM 4210,Introduction to Inorganic Chemistry Research,
Cornell University,SP22,CHEM 4330,Introduction to Analytical Chemistry Research,
Cornell University,SP22,CHEM 4610,Introduction to Organic Chemistry Research,
Cornell University,SP22,CHEM 4770,Introduction to Physical Chemistry Research,
Cornell University,SP22,CHEM 4810,Computational Methods in Chemistry,
Cornell University,SP22,CHEM 4980,Honors Seminar,
Cornell University,SP22,CHEM 5110,Chemical Facilities Boot Camp,
Cornell University,SP22,CHEM 5120,Capstone Research Project,
Cornell University,SP22,CHEM 5810,Computational Methods in Chemistry,
Cornell University,SP22,CHEM 6070,Solid State Chemistry,
Cornell University,SP22,CHEM 6250,Advanced Analytical Chemistry I,
Cornell University,SP22,CHEM 6290,Electrochemistry,
Cornell University,SP22,CHEM 6660,Synthetic Organic Chemistry,
Cornell University,SP22,CHEM 6900,Honors Physical Chemistry II,
Cornell University,SP22,CHEM 7880,Modern Methods in Structural Biology,
Cornell University,SP22,CHEM 7910,Advanced Spectroscopy,
Cornell University,SP22,CHEM 7940,Quantum Mechanics II,
Cornell University,SP22,CHEM 7960,Statistical Mechanics,
Cornell University,SP22,CHEME 1510,Modeling and Simulation of Real-World Scientific Problems,Perrine Pepiot (pp427)
Cornell University,SP22,CHEME 3010,Career Perspectives,Perrine Pepiot (pp427)
Cornell University,SP22,CHEME 3230,Fluid Mechanics,Susan Daniel (sd386)
Cornell University,SP22,CHEME 3320,Analysis of Separation Processes,Sarah Hormozi (sh2365)
Cornell University,SP22,CHEME 3720,Introduction to Process Dynamics and Control,Sarah Hormozi (sh2365)
Cornell University,SP22,CHEME 3900,Chemical Kinetics and Reactor Design,Yong Joo (ylj2)
Cornell University,SP22,CHEME 4020,Molecular Principles of Biomedical Engineering,Yong Joo (ylj2)
Cornell University,SP22,CHEME 4620,Chemical Engineering Design,James Engstrom (jre7)
Cornell University,SP22,CHEME 4900,Undergraduate Projects in Chemical Engineering,Sijin Li (sl3276)
Cornell University,SP22,CHEME 4980,Design and Testing of the Chemical Engineering Car,Sijin Li (sl3276)
Cornell University,SP22,CHEME 4981,Engineers for a Sustainable World: Biofuels Design Projects,Ilana Brito (ilb8)
Cornell University,SP22,CHEME 4998,International Research Internship,Ilana Brito (ilb8)
Cornell University,SP22,CHEME 5207,Petroleum Refining Processes and Economics,Ilana Brito (ilb8)
Cornell University,SP22,CHEME 5240,Chemical Process Safety Management,Ilana Brito (ilb8)
Cornell University,SP22,CHEME 5440,Advanced Principles of Biomolecular Engineering,Alex Woltornist (aw499)
Cornell University,SP22,CHEME 5540,Principles of Molecular Simulation,Alex Woltornist (aw499)
Cornell University,SP22,CHEME 5650,Design Project,Alex Woltornist (aw499)
Cornell University,SP22,CHEME 5710,Lean Operations Design and Process Optimization,Simon Coulson (scc33)
Cornell University,SP22,CHEME 5862,Introduction to Electronic Materials,Simon Coulson (scc33)
Cornell University,SP22,CHEME 5880,Energy Seminar II,Simon Coulson (scc33)
Cornell University,SP22,CHEME 5990,Medical and Industrial Biotechnology Seminar,Simon Coulson (scc33)
Cornell University,SP22,CHEME 5999,Special Projects in Chemical Engineering,Alex Woltornist (aw499)
Cornell University,SP22,CHEME 6400,Polymeric Materials,Simon Coulson (scc33)
Cornell University,SP22,CHEME 6660,Analysis of Sustainable Energy Systems,Alfred Center (ac222)
Cornell University,SP22,CHEME 6662,Solar Energy Module,Alfred Center (ac222)
Cornell University,SP22,CHEME 6663,Geothermal Energy Module,Alfred Center (ac222)
Cornell University,SP22,CHEME 6670,Fossil Fuels Module,Alex Woltornist (aw499)
Cornell University,SP22,CHEME 6681,Energy Analysis Project,Qiuming Yu (qy10)
Cornell University,SP22,CHEME 6880,Industrial Big Data Analytics and Machine Learning,Alex Woltornist (aw499)
Cornell University,SP22,CHEME 7130,Chemical Kinetics and Transport,Sijin Li (sl3276)
Cornell University,SP22,CHEME 7410,Selected Topics in Biochemical Engineering,T. Michael Duncan (tmd10)
Cornell University,SP22,CHEME 7740,Principles of Molecular Simulation,James Engstrom (jre7)
Cornell University,SP22,CHEME 7770,Advanced Principles of Biomolecular Engineering,Susan Daniel (sd386)
Cornell University,SP22,CHEME 7900,Chemical Engineering Seminar,David Putnam (dap43)
Cornell University,SP22,CHEME 7930,Peer Mentoring and Leadership Essentials,Matthew DeLisa (md255)
Cornell University,SP22,CHIN 1102,Beginning Mandarin II,Stephanie Divo (sah36)
Cornell University,SP22,CHIN 1110,Beginning Chinese Reading and Writing for Students of Chinese Heritage II,Stephanie Divo (sah36)
Cornell University,SP22,CHIN 1122,Beginning Mandarin for Professional Students II,Jyun-hong Lu (jl3275)
Cornell University,SP22,CHIN 1124,Beginning Mandarin for Professional Students IV,Su George (wsg3)
Cornell University,SP22,CHIN 2202,Intermediate Mandarin II,Su George (wsg3)
Cornell University,SP22,CHIN 2210,Intermediate Chinese Reading and Writing for Students of Chinese Heritage II,Stephanie Divo (sah36)
Cornell University,SP22,CHIN 3302,High Intermediate Mandarin II,Fangfang Li (fl223)
Cornell University,SP22,CHIN 4412,Advanced Mandarin II,Rui Liu (rl264)
Cornell University,SP22,CHIN 4428,High Advanced Mandarin II,Mia Gong (zg247)
Cornell University,SP22,CHLIT 2214,Introduction to Classical Chinese II,Robin McNeal (rm253)
Cornell University,SP22,CHLIT 4420,Tang Poetry: Themes and Contexts,Ding Xiang Warner (dxw2)
Cornell University,SP22,CHLIT 4422,Directed Study,Robin McNeal (rm253)
Cornell University,SP22,CHLIT 6616,Studies in Medieval Chinese Literature and Culture,Ding Xiang Warner (dxw2)
Cornell University,SP22,CHLIT 6620,Tang Poetry: Themes and Contexts,Ding Xiang Warner (dxw2)
Cornell University,SP22,CHLIT 6622,Advanced Directed Reading,
Cornell University,SP22,CLASS 1531,FWS: Greek Myth,Emmy Shanahan (egs77)
Cornell University,SP22,CLASS 1632,Ancient Theater Performance,
Cornell University,SP22,CLASS 2646,Magic and Witchcraft in the Greco-Roman World,Caitlin Barrett (ceb329)
Cornell University,SP22,CLASS 2680,War and Peace in Greece and Rome,Caitlin Barrett (ceb329)
Cornell University,SP22,CLASS 2685,Egyptomania? Egypt and the Greco-Roman World,Caitlin Barrett (ceb329)
Cornell University,SP22,CLASS 2689,Roman History,Barry Strauss (bss4)
Cornell University,SP22,CLASS 2712,The Ancient Economy,
Cornell University,SP22,CLASS 2750,Introduction to Humanities,
Cornell University,SP22,CLASS 2770,The Aegean and East Mediterranean Bronze Age c. 3000-1000 BCE,
Cornell University,SP22,CLASS 2812,Hieroglyphs to HTML: History of Writing,
Cornell University,SP22,CLASS 3391,"Independent Study in Sanskrit, Undergraduate Level",Stephen Sansom (sas688)
Cornell University,SP22,CLASS 3396,Advanced Sanskrit II,Stephen Sansom (sas688)
Cornell University,SP22,CLASS 3636,Ancient Beginnings of The Enlightenment: Lucian of Samosata,Stephen Sansom (sas688)
Cornell University,SP22,CLASS 3645,The Tragic Theatre,Eric Rebillard (er97)
Cornell University,SP22,CLASS 3664,Aristotle,
Cornell University,SP22,CLASS 3674,Introduction to Indian Philosophy,
Cornell University,SP22,CLASS 3686,"Independent Study in Classical Civilization, Undergraduate Level",Astrid Van Oyen (av475)
Cornell University,SP22,CLASS 3735,Archaic and Classical Greece,Kaja Tally-Schumacher (kjt59)
Cornell University,SP22,CLASS 3738,Identity in the Ancient World,Sturt Manning (sm456)
Cornell University,SP22,CLASS 4681,Unconventional and Hybrid Warfare in Ancient Greece and Rome,Athena Kirk (aek238)
Cornell University,SP22,CLASS 4721,Honors: Senior Essay I,
Cornell University,SP22,CLASS 4722,Honors: Senior Essay II,Lawrence McCrea (ljm223)
Cornell University,SP22,CLASS 4752,Problems in Byzantine Art,Michael Fontaine (mf268)
Cornell University,SP22,CLASS 4756,Producing Cloth Cultures,Frederick Ahl (fma2)
Cornell University,SP22,CLASS 6681,Unconventional and Hybrid Warfare in Ancient Greece and Rome,Rachana Kamtekar (rk579)
Cornell University,SP22,CLASS 7345,Graduate TA Training,Lawrence McCrea (ljm223)
Cornell University,SP22,CLASS 7347,Scholarly Writing in Classics,
Cornell University,SP22,CLASS 7682,Topics in Ancient History,
Cornell University,SP22,CLASS 7752,Problems in Byzantine Art,Annetta Alexandridis (aa376)
Cornell University,SP22,CLASS 7770,The Aegean and East Mediterranean Bronze Age c. 3000-1000 BCE,Astrid Van Oyen (av475)
Cornell University,SP22,COGST 1101,Introduction to Cognitive Science,Shaun Nichols (sbn44)
Cornell University,SP22,COGST 1104,WIM: Introduction to Cognitive Science,Shaun Nichols (sbn44)
Cornell University,SP22,COGST 1105,Introduction to Linguistics,Helena Aparicio Terrasa (ha425)
Cornell University,SP22,COGST 1212,Music on the Brain,
Cornell University,SP22,COGST 2150,Psychology of Language,
Cornell University,SP22,COGST 2310,Introduction to Deductive Logic,
Cornell University,SP22,COGST 3140,Computational Psychology,
Cornell University,SP22,COGST 3302,Introduction to Phonetics and Phonology,
Cornell University,SP22,COGST 3420,"Human Perception: Application to Computer Graphics, Art, and Visual Display",
Cornell University,SP22,COGST 4240,Computational Linguistics I,
Cornell University,SP22,COGST 4310,Topics in Cognitive Science,
Cornell University,SP22,COGST 4425,Pragmatics,Annie Lewandowski (apl72)
Cornell University,SP22,COGST 4700,Undergraduate Research in Cognitive Science,Morten Christiansen (mhc27)
Cornell University,SP22,COGST 4710,Cognitive Science Research Workshop,Harold Hodes (hth3)
Cornell University,SP22,COGST 4720,"Current Research in Emotion, Cognition, and Brain",
Cornell University,SP22,COGST 4910,Research Methods in Psychology,
Cornell University,SP22,COGST 6101,Cognitive Science Proseminar,Shimon Edelman (se37)
Cornell University,SP22,COGST 6420,"Human Perception: Applications to Computer Graphics, Art, and Visual Display",Draga Zec (dz17)
Cornell University,SP22,COGST 6425,Pragmatics,
Cornell University,SP22,COGST 6910,Research Methods in Psychology,
Cornell University,SP22,COGST 7090,Developmental Psychology,David Field (djf3)
Cornell University,SP22,COGST 7710,Computational Seminar,Marten van Schijndel (mv443)
Cornell University,SP22,COLLS 2001,College Scholar Seminar,Michael Goldstein (mhg26)
